"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"75","290.19709045431154","116.79053539781681","0.505126953125","0.64501953125","0.365234375","2280","0.00015905150128919305","32","0.00015905150128919305","0","0.00015905150128919305","0.00015905150128919305","59:0.0013749647956923794;74:0.0017213213520305692","59:68;74:68","59:0.0017515102295571072;74:0.0013994371330405264","Yes"
"76","192.12242778433185","41.02775142174599","0.41064453125","0.365234375","0.4560546875","2280","","32","","0","","","81:0.0023430817423916173;61:0.0020101873685837435","81:68;61:68","81:0.002153059283302422;61:0.003782524381671176","Yes"
"77","207.69451181026204","238.05014682551828","0.0107421875","0.0205078125","0.0009765625","2280","0.00037494839341147376","32","0.00037494839341147376","0","0.00037494839341147376","0.00037494839341147376","85:0.003966562265043827;65:0.002069612410265681","85:68;65:68","85:0.007662010507180322;65:0.002842158068066647","Yes"
"78","239.8758301826396","56.18101127318208","0.022705078125","0.0234375","0.02197265625","2280","0.00019840043584660533","32","0.00019840043584660533","0","0.00019840043584660533","0.00019840043584660533","69:0.0042968380786754246;89:0.00240831574209599","69:68;89:68","69:0.00466467775184784;89:0.0023538757663847665","Yes"
"79","167.66521897597917","77.18264747283463","0.509765625","0.8369140625","0.1826171875","2280","0.00016188885883435084","32","0.00016188885883435084","0","0.00016188885883435084","0.00016188885883435084","93:0.0015190732454558598;73:0.0013371332499431121","93:68;73:68","93:0.0038547970843204327;73:0.0018580262549997562","Yes"
"80","323.8754406988959","302.32197207277704","0.00439453125","0.00732421875","0.00146484375","2280","0.00019165055310939888","32","0.00019165055310939888","0","0.00019165055310939888","0.00019165055310939888","81:0.002448877382518422","81:68","81:0.0019692625490421445","Yes"
"81","266.0866141262484","427.4460974901997","0.002685546875","0.00439453125","0.0009765625","2280","0.00014309213824976785","32","0.00014309213824976785","0","0.00014309213824976785","0.00014309213824976785","80:0.002448877382518422;82:0.0011532108640033845;76:0.0023430817423916173","80:68;82:68;76:68","80:0.0019692625490421445;82:0.0018187662491699341;76:0.002153059283302422","Yes"
"82","347.63868491252464","421.7992488242817","0.0029296875","0.005859375","0","2280","0.00008328381146819756","32","0.00008328381146819756","0","0.00008328381146819756","0.00008328381146819756","81:0.0011532108640033845;83:0.0011664281684284072","81:68;83:68","81:0.0018187662491699341;83:0.0015828353039478438","Yes"
"83","352.8716187795817","216.0376391600316","0.00390625","0.00439453125","0.00341796875","2280","0.00014166264424198598","32","0.00014166264424198598","0","0.00014166264424198598","0.00014166264424198598","96:0.0013337274139587074;82:0.0011664281684284072;84:0.0024966008954777075","96:68;82:68;84:68","96:0.0015923246621213083;82:0.0015828353039478438;84:0.005603748810570075","Yes"
"84","250.02265706419485","231.53806167155807","0.00927734375","0.0087890625","0.009765625","2280","0.0003201842414892792","32","0.0003201842414892792","0","0.0003201842414892792","0.0003201842414892792","83:0.0024966008954777075;85:0.004292681648146002","83:68;85:68","83:0.005603748810570075;85:0.006652334182108061","Yes"
"85","179.01602528652336","124.3264405002866","0.007568359375","0.0107421875","0.00439453125","2280","0.0009361828611745924","32","0.0009361828611745924","0","0.0009361828611745924","0.0009361828611745924","77:0.003966562265043827;86:0.026040436050835336;84:0.004292681648146002","77:68;86:68;84:68","77:0.007662010507180322;86:0.009873090291527747;84:0.006652334182108061","Yes"
"86","127.40602668983188","24.80868626770239","0.0078125","0.01513671875","0.00048828125","2280","0.0002306302549624209","32","0.0002306302549624209","0","0.0002306302549624209","0.0002306302549624209","85:0.026040436050835336;87:0.0024329558488650205","85:68;87:68","85:0.009873090291527747;87:0.0019716059063659974","Yes"
"87","109.68265403839942","83.17350068784454","0.0068359375","0.013671875","0","2280","0.00021378554229755197","32","0.00021378554229755197","0","0.00021378554229755197","0.00021378554229755197","86:0.0024329558488650205;88:0.002356125783310181;97:0.0022488980049971685","86:68;88:68;97:68","86:0.0019716059063659974;88:0.0026877875403816254;97:0.002394959774819405","Yes"
"88","207.93886948382072","15.776342343571564","0.006591796875","0.01123046875","0.001953125","2280","0.0003587643061264204","32","0.0003587643061264204","0","0.0003587643061264204","0.0003587643061264204","87:0.002356125783310181;89:0.0016540795602676683","87:68;89:68","87:0.0026877875403816254;89:0.011227748092571571","Yes"
"89","176.65818695518388","114.02911574682092","0.004150390625","0.0078125","0.00048828125","2280","0.00019921966871316933","32","0.00019921966871316933","0","0.00019921966871316933","0.00019921966871316933","90:0.0025905010910366455;88:0.0016540795602676683;78:0.00240831574209599","90:68;88:68;78:68","90:0.003565568826553539;88:0.011227748092571571;78:0.0023538757663847665","Yes"
